service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1-127,1,1,1,1,1,1,1,20250106,20250411
11-1-127,1,1,1,1,1,1,1,20250106,20250411
1-1-127,1,1,1,1,1,1,1,20250106,20250411
12-1-127,1,1,1,1,1,1,1,20250106,20250411
15-1-127,1,1,1,1,1,1,1,20250106,20250411
16-1-127,1,1,1,1,1,1,1,20250106,20250411
18-1-127,1,1,1,1,1,1,1,20250106,20250411
20-1-127,1,1,1,1,1,1,1,20250106,20250411
21-1-127,1,1,1,1,1,1,1,20250106,20250411
2-1-127,1,1,1,1,1,1,1,20250106,20250411
22-1-127,1,1,1,1,1,1,1,20250106,20250411
23-1-127,1,1,1,1,1,1,1,20250106,20250411
24-1-127,1,1,1,1,1,1,1,20250106,20250411
25-1-127,1,1,1,1,1,1,1,20250106,20250411
27-1-127,1,1,1,1,1,1,1,20250106,20250411
28-1-127,1,1,1,1,1,1,1,20250106,20250411
29-1-127,1,1,1,1,1,1,1,20250106,20250411
3-1-127,1,1,1,1,1,1,1,20250106,20250411
32-1-127,1,1,1,1,1,1,1,20250106,20250411
4-1-127,1,1,1,1,1,1,1,20250106,20250411
5-1-127,1,1,1,1,1,1,1,20250106,20250411
6-1-127,1,1,1,1,1,1,1,20250106,20250411
7-1-127,1,1,1,1,1,1,1,20250106,20250411
8-1-127,1,1,1,1,1,1,1,20250106,20250411
9-1-127,1,1,1,1,1,1,1,20250106,20250411
